id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_34_test_push_frame","Test_push_frame → Calculate_crc16","Test_push_frame → Calculate_crc16","cross_community",4,"['comm_3','comm_4']","Function:test_push_frame.py:test_push_frame","Function:plc_rf_parser.py:PLCRFProtocolParser.calculate_crc16"
"proc_35_test_frame","Test_frame → Calculate_crc16","Test_frame → Calculate_crc16","cross_community",4,"['comm_4','comm_3']","Function:test_plc_rf.py:test_frame","Function:plc_rf_parser.py:PLCRFProtocolParser.calculate_crc16"
"proc_36_create_afn06_di06","Create_afn06_di06 → Calculate_checksum","Create_afn06_di06 → Calculate_checksum","intra_community",4,"['comm_15']","Function:send_frame_lib.py:ProtocolFrameGenerator.create_afn06_di06","Function:protocol_tool.py:Frame.calculate_checksum"
"proc_37_parse_dlms_deep","Parse_dlms_deep → _bytes_to_hex","Parse_dlms_deep → _bytes_to_hex","intra_community",4,"['comm_44']","Function:dlms_deep_parser.py:parse_dlms_deep","Function:dlms_deep_parser.py:DLMSDeepParser._bytes_to_hex"
"proc_38___init__","__init__ → Setup_chinese_context_menu","__init__ → Setup_chinese_context_menu","cross_community",4,"['comm_20','comm_26']","Function:preset_buttons.py:PresetButtonWidget.__init__","Function:gui_utils.py:setup_chinese_context_menu"
"proc_39___init__","__init__ → Setup_chinese_context_menu","__init__ → Setup_chinese_context_menu","cross_community",4,"['comm_20','comm_26']","Function:preset_buttons.py:AddPresetDialog.__init__","Function:gui_utils.py:setup_chinese_context_menu"
"proc_40__build_buttons","_build_buttons → _clear_all","_build_buttons → _clear_all","intra_community",4,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget._build_buttons","Function:preset_buttons.py:PresetButtonWidget._clear_all"
"proc_41__build_buttons","_build_buttons → _get_path","_build_buttons → _get_path","intra_community",4,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget._build_buttons","Function:preset_buttons.py:PresetButtonWidget._get_path"
"proc_42_create_command_looku","Create_command_lookup_page → _infer_object_type","Create_command_lookup_page → _infer_object_type","cross_community",3,"['comm_26','comm_25']","Function:lookup_pages_simple.py:create_command_lookup_page","Function:lookup_pages_simple.py:_infer_object_type"
"proc_43_create_obis_lookup_p","Create_obis_lookup_page → _infer_object_type","Create_obis_lookup_page → _infer_object_type","cross_community",3,"['comm_26','comm_25']","Function:lookup_pages_simple.py:create_obis_lookup_page","Function:lookup_pages_simple.py:_infer_object_type"
"proc_44_create_di_lookup_pag","Create_di_lookup_page → Setup_chinese_context_menu","Create_di_lookup_page → Setup_chinese_context_menu","cross_community",3,"['comm_29','comm_26']","Function:lookup_pages.py:create_di_lookup_page","Function:gui_utils.py:setup_chinese_context_menu"
"proc_45_create_di_lookup_pag","Create_di_lookup_page → _populate_di_table","Create_di_lookup_page → _populate_di_table","intra_community",3,"['comm_29']","Function:lookup_pages.py:create_di_lookup_page","Function:lookup_pages.py:_populate_di_table"
"proc_46_export","Export → _format_hex","Export → _format_hex","intra_community",3,"['comm_54']","Function:report/excel_reporter.py:ExcelReporter.export","Function:report/excel_reporter.py:ExcelReporter._format_hex"
"proc_47_generate_frame","Generate_frame → _check_condition","Generate_frame → _check_condition","intra_community",3,"['comm_17']","Function:send_frame_lib.py:ProtocolFrameGenerator.generate_frame","Function:send_frame_lib.py:ProtocolFrameGenerator._check_condition"
"proc_48_add_command","Add_command → _get_path","Add_command → _get_path","intra_community",3,"['comm_18']","Function:preset_buttons.py:PresetButtonManager.add_command","Function:preset_buttons.py:_get_path"
"proc_49_update_command","Update_command → _get_path","Update_command → _get_path","intra_community",3,"['comm_18']","Function:preset_buttons.py:PresetButtonManager.update_command","Function:preset_buttons.py:_get_path"
